departamento,codigo_departamento,municipio,codigo_municipio,poblacion,Fecha,count
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-18,248
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-19,184
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-20,102
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-21,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-22,321
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-23,284
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-24,125
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-25,394
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-26,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-27,241
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-28,207
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-29,251
GUATEMALA,01,GUATEMALA,0101,1205668,2020-06-30,408
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-01,436
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-02,447
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-03,464
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-04,304
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-05,231
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-06,346
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-07,214
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-08,371
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-09,350
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-10,331
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-11,252
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-12,112
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-13,398
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-14,375
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-15,281
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-16,313
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-17,377
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-18,192
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-19,59
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-20,358
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-21,378
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-22,340
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-23,309
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-24,428
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-25,215
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-26,69
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-27,424
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-28,345
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-29,342
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-30,249
GUATEMALA,01,GUATEMALA,0101,1205668,2020-07-31,290
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-01,97
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-02,60
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-03,195
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-04,331
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-05,240
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-06,188
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-07,209
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-08,104
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-09,55
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-10,270
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-11,223
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-12,262
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-13,206
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-14,134
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-15,27
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-16,79
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-17,152
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-18,167
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-19,178
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-20,232
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-21,179
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-22,60
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-23,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-24,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-25,173
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-26,222
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-27,176
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-28,152
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-29,59
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-30,20
GUATEMALA,01,GUATEMALA,0101,1205668,2020-08-31,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-01,121
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-02,129
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-03,119
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-04,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-05,35
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-06,25
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-07,149
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-08,184
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-09,140
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-10,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-11,76
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-12,44
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-13,26
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-14,80
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-15,28
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-16,99
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-17,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-18,134
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-19,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-20,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-21,133
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-22,162
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-23,73
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-24,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-25,164
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-26,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-27,29
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-28,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-29,98
GUATEMALA,01,GUATEMALA,0101,1205668,2020-09-30,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-01,120
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-02,119
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-03,40
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-04,45
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-05,114
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-06,144
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-07,157
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-08,65
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-09,138
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-10,39
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-11,25
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-12,126
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-13,128
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-14,160
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-15,102
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-16,67
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-17,142
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-18,66
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-19,117
GUATEMALA,01,GUATEMALA,0101,1205668,2020-10-20,18
